,,,GGBS ,,,,,,,Fly Ash,,,,,,,Silica Fume,,,,,,,Na(OH) content and composition,,Na2SiO3 content and composition,Aggregates Composition,,,Ratio,,,,Curing Conditions,,,Sample Dimensions,,,Compressive Strength,
Paper_ID,Title,Mix_ID,GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
,,M5,0,0,0,0,0,0,0,0,1.19,60.25,28.57,0.24,4.99,0.04,428,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1170,630,42.8,0.4,0.1,0,2,100,,Heat,100,100,100,8,10.5
,,M6,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,57,16,114,1170,630,42.8,0.4,0.1,0,2.5,100,,Heat,100,100,100,28,35
,,M7,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,43,16,128,1170,630,42.8,0.4,0.1,0,3,100,,Heat,100,100,100,22,27.5
,,M8,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,57,16,114,1170,630,42.8,0.4,0.1,0,2,100,,Heat,100,100,100,24,28
,,M9,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1170,630,42.8,0.4,0.1,0,2.5,100,,Heat,100,100,100,28.5,30
,,M10,0,0,0,0,0,0,0,428,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,43,16,128,1170,630,42.8,0.4,0.1,0,3,100,,Heat,100,100,100,19.2,25
,,M11,0,0,0,0,0,0,0,342,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1230,665,42.8,0.4,0.1,0,2,100,,Heat,100,100,100,20,25.5
,,M12,0,0,0,0,0,0,0,285,1.19,60.25,28.57,0.24,4.99,0.04,0,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1276,690,42.8,0.4,0.1,0,2.5,100,,Heat,100,100,100,22.7,28.5
,,M13,0,0,0,0,0,0,0,342,1.19,60.25,28.57,0.24,4.99,0.04,86,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1202,650,21.4,0.4,0.05,0,3,100,,Heat,100,100,100,28,35
,,M14,0,0,0,0,0,0,0,342,1.19,60.25,28.57,0.24,4.99,0.04,86,0.013,96.2,0.91,0.38,1.44,0,49,16,122,1147,620,53.5,0.4,0.125,0,2,100,,Heat,100,100,100,26.4,30.5
https://doi.org/10.1016/j.cemconcomp.2020.103665,Mechanical and fracture properties of ultra-high performance geopolymer concrete: Effects of steel fiber and silica fume,R0,688,38.81,33.81,14.78,7.09,0.36,2.49,172,1.24,54.22,31.18,0.47,2.63,0.35,45,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,101.4
,,A,688,38.81,33.81,14.78,7.09,0.36,2.49,172,1.24,54.22,31.18,0.47,2.63,0.35,45,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,108.5
,,B,688,38.81,33.81,14.78,7.09,0.36,2.49,172,1.24,54.22,31.18,0.47,2.63,0.35,45,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,127.5
,,C,688,38.81,33.81,14.78,7.09,0.36,2.49,172,1.24,54.22,31.18,0.47,2.63,0.35,45,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,154.9
,,D,652,38.81,33.81,14.78,7.09,0.36,2.49,163,1.24,54.22,31.18,0.47,2.63,0.35,90,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,104
,,E,580,38.81,33.81,14.78,7.09,0.36,2.49,145,1.24,54.22,31.18,0.47,2.63,0.35,180,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,138
,,F,508,38.81,33.81,14.78,7.09,0.36,2.49,127,1.24,54.22,31.18,0.47,2.63,0.35,270,1.84,95.38,,0.26,0.61,0.16,45,,314,0,905,87,,0.1,0,,20,65,Ambient,100,100,100,,151
https://doi.org/10.1016/j.nxsust.2025.100122,Mechanical and microstructural properties of sustainable ternary blended alkali-activated concrete,A4N1.5,200,38.45,34.28,20.68,7.58,0.84,0.75,160,1.23,58.7,29.4,0.87,5.3,0.43,40,0.35,93.57,0.87,0.81,0.74,0.17,72,12,108,1152,768,170,0.45,,1.4,1.5,23,60,Ambient,150,150,150,48,52.8
,,A4N2.0,200,38.45,34.28,20.68,7.58,0.84,0.75,160,1.23,58.7,29.4,0.87,5.3,0.43,40,0.35,93.57,0.87,0.81,0.74,0.17,60,12,120,1152,768,170,0.45,,1.4,2,23,60,Ambient,150,150,150,55,60.5
