GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
417.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,59.64,65.5
350.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.0,10.0,135.8,1050.0,825.0,98.6,0.4,0.28,2.8,2.0,20.0,65.0,0,100.0,100.0,100.0,53.61,55.89
417.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,1.2,10.0,53.9,1085.0,724.0,144.7,0.4,0.34,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,46.8,49.85
417.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,2.4,10.0,107.8,1085.0,724.0,114.3,0.4,0.274,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,55.25,62.51
417.0,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,4.8,10.0,215.7,1085.0,724.0,53.7,0.4,0.12,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,70.24,75.89
375.3,36.82,26.75,19.66,11.1,0.32,2.65,41.7,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,64.73,67.81
333.6,36.82,26.75,19.66,11.1,0.32,2.65,83.4,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,67.17,69.33
291.9,36.82,26.75,19.66,11.1,0.32,2.65,125.1,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,58.11,66.86
250.2,36.82,26.75,19.66,11.1,0.32,2.65,166.8,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,47.62,60.39
166.8,36.82,26.75,19.66,11.1,0.32,2.65,250.2,5.6,45.1,24.2,1.21,0.85,2.1,0.0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,43.72,56.15
396.2,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,20.8,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,63.92,67.53
375.3,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,41.7,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,66.1,71.39
354.5,36.82,26.75,19.66,11.1,0.32,2.65,0.0,5.6,45.1,24.2,1.21,0.85,2.1,62.5,0.12,96.65,0.31,0.11,0.07,1.21,3.6,10.0,161.8,1085.0,724.0,84.0,0.4,0.2,3.3,2.0,20.0,65.0,0,100.0,100.0,100.0,59.49,62.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,1.19,60.25,28.57,0.24,4.99,0.04,0.0,0.013,96.2,0.91,0.38,1.44,0.0,49.0,16.0,114.0,1170.0,630.0,42.8,0.4,0.1,0.0,2.0,100.0,65.0,1,100.0,100.0,100.0,26.0,33.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,1.19,60.25,28.57,0.24,4.99,0.04,43.0,0.013,96.2,0.91,0.38,1.44,0.0,49.0,16.0,122.0,1170.0,630.0,42.8,0.4,0.1,0.0,2.5,100.0,65.0,1,100.0,100.0,100.0,30.0,35.5
