GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,Relative Humidity,CS 7 day (Mpa),CS 28 day (Mpa),Total_Binders,Total_SiO2,Total_CaO,Total_Al2O3,SiO2 / Al2O3,CaO / Al2O3,CaO / SiO2
88.0,56.1,21.0,17.0,344.0,2.6,46.0,33.0,0.0,0.0,0.0,143.3,4.0,107.5,1005.0,760.0,0.55,0.44,0.0,60.0,18.6,30.7,432.0,40.907407407407405,13.498148148148148,29.74074074074074,1.37546699875467,1.37546699875467,0.32996831145314626
88.0,56.1,21.0,17.0,316.0,2.6,46.0,33.0,0.0,0.0,0.0,143.3,4.0,177.0,1005.0,760.0,0.55,0.44,0.0,60.0,7.6,15.5,404.0,40.554455445544555,14.253465346534655,29.514851485148515,1.3740355585374036,1.3740355585374036,0.35146484375000003
250.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,72.0,10.0,177.0,1085.0,690.0,0.5,0.5,1.58,70.0,34.0,73.0,500.0,47.0,19.48,24.69,1.903604698258404,1.903604698258404,0.414468085106383
225.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,72.0,10.0,177.0,1085.0,690.0,0.5,0.5,1.58,70.0,34.0,77.0,500.0,49.95,17.6245,23.639,2.1130335462583023,2.1130335462583023,0.35284284284284284
200.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,72.0,10.0,177.0,1085.0,690.0,0.5,0.5,1.58,70.0,34.0,82.0,500.0,52.9,15.769,22.588,2.341951478661236,2.341951478661236,0.2980907372400756
175.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,72.0,10.0,161.0,1085.0,690.0,0.5,0.5,1.58,70.0,34.0,79.0,500.0,55.85,13.9135,21.537,2.593211682221294,2.593211682221294,0.24912264995523725
250.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,67.0,500.0,47.0,19.48,24.69,1.903604698258404,1.903604698258404,0.414468085106383
250.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,70.0,500.0,47.0,19.48,24.69,1.903604698258404,1.903604698258404,0.414468085106383
250.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,72.0,500.0,47.0,19.48,24.69,1.903604698258404,1.903604698258404,0.414468085106383
225.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,75.0,500.0,49.95,17.6245,23.639,2.1130335462583023,2.1130335462583023,0.35284284284284284
225.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,78.0,500.0,49.95,17.6245,23.639,2.1130335462583023,2.1130335462583023,0.35284284284284284
225.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,80.0,500.0,49.95,17.6245,23.639,2.1130335462583023,2.1130335462583023,0.35284284284284284
200.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,82.0,500.0,52.9,15.769,22.588,2.341951478661236,2.341951478661236,0.2980907372400756
200.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,85.0,500.0,52.9,15.769,22.588,2.341951478661236,2.341951478661236,0.2980907372400756
200.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,86.0,500.0,52.9,15.769,22.588,2.341951478661236,2.341951478661236,0.2980907372400756
175.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,80.0,500.0,55.85,13.9135,21.537,2.593211682221294,2.593211682221294,0.24912264995523725
175.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,161.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,83.0,500.0,55.85,13.9135,21.537,2.593211682221294,2.593211682221294,0.24912264995523725
175.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,65.0,10.0,119.0,1066.0,711.0,0.452,0.45,1.5,70.0,34.0,84.0,500.0,55.85,13.9135,21.537,2.593211682221294,2.593211682221294,0.24912264995523725
250.0,37.56,33.68,21.7,250.0,1.4,60.32,27.68,0.45,92.68,0.68,47.0,10.0,119.0,1006.0,651.0,0.332,0.33,1.28,70.0,34.0,90.0,500.0,47.0,19.48,24.69,1.903604698258404,1.903604698258404,0.414468085106383
